Chromosme	Start	End	ATAC	tissue
chrX	28793031	28793370	2.92453	Adipose
chrX	148155625	148156021	2.49307	Adipose
chrX	148155625	148155845	2.48619	Adipose
chrX	17403686	17403961	2.36967	Adipose
chrX	138171611	138172283	2.82001	Adipose
chrX	148155576	148155799	2.89637	Adipose
chrX	20119294	20119494	2.53521	Adipose
chrX	22415334	22415584	2.89116	Adipose
chrX	138171610	138171931	2.43798	Adipose
chrX	148139932	148140177	2.40982	Adipose
chrX	138171606	138171970	2.48714	Adipose
chrX	20119293	20119536	2.52809	Adipose
chrX	20119248	20119505	2.73184	Adipose
chrX	17397416	17397636	3.40694	Adipose
chrX	138171605	138173529	3.24647	Adipose
chrX	20114380	20114588	2.39637	Adipose
chrX	17397352	17397565	2.34483	Adipose
chrX	138171595	138172264	2.59875	Adipose
chrX	17397295	17397616	2.8125	Adipose
chrX	138171594	138171926	2.58922	Adipose
chrX	62913837	62914045	2.32053	Adipose
chrX	138171592	138172264	2.45281	Adipose
chrX	22418848	22419112	2.37249	Adipose
chrX	79018047	79018510	2.63159	Adipose
chrX	138166303	138166693	3.22581	Adipose
chrX	138166295	138166693	3.22581	Adipose
chrX	20113102	20113430	2.58152	Adipose
chrX	138166268	138166580	3.74449	Adipose
chrX	138166267	138166623	4.19872	Adipose
chrX	138166258	138166544	5.22733	Adipose
chrX	79018125	79018511	2.65781	Adipose
chrX	62909465	62909789	2.04225	Adipose
chrX	62909438	62909780	2.10379	Adipose
chrX	58814005	58814261	2.65363	Adipose
chrX	148094680	148094911	3.14905	Adipose
chrX	58813912	58814280	3.7037	Adipose
chrX	17383065	17383316	3.14905	Adipose
chrX	66362536	66362740	3.31494	Adipose
chrX	17382822	17383022	2.57009	Adipose
chrX	66374780	66375660	2.65517	Adipose
chrX	138166248	138166712	5.17241	Adipose
chrX	138166085	138166831	4.64286	Adipose
chrX	20113089	20113428	2.84553	Adipose
chrX	66374780	66375670	2.66273	Adipose
chrX	62909384	62909650	2.48227	Adipose
chrX	17382272	17382481	3.34728	Adipose
chrX	148083164	148083395	2.75081	Adipose
chrX	138166085	138166812	4.96454	Adipose
chrX	138166034	138166871	4.91803	Adipose
chrX	148083151	148083396	2.94118	Adipose
chrX	22419348	22419564	2.3743	Adipose
chrX	62908691	62909276	2.8182	Adipose
chrX	138166007	138166785	3.9718	Adipose
chrX	66375050	66375474	2.84766	Adipose
