Chromosome	Start	End
chr1	750000	1090000
chr1	1110000	1650000
chr1	1670000	1950000
chr1	1970000	2370000
chr1	2390000	2730000
chr1	2750000	3090000
chr1	3110000	3750000
chr1	3770000	4430000
chr1	4450000	4710000
chr1	4730000	5230000
chr1	5250000	5710000
chr1	5730000	6010000
chr1	6030000	6690000
chr1	6710000	7270000
chr1	7290000	7830000
chr1	7850000	8170000
chr1	8190000	8510000
chr1	8530000	9070000
chr1	9090000	9590000
chr1	9610000	10670000
chr1	10690000	10830000
chr1	10850000	11050000
chr1	11070000	12510000
chr1	12530000	12870000
chr1	12890000	13170000
chr1	13190000	13850000
chr1	13870000	14150000
chr1	14170000	14830000
chr1	14850000	15450000
chr1	15470000	15730000
chr1	15750000	15890000
chr1	15910000	16270000
chr1	16290000	17030000
chr1	17050000	18510000
chr1	18530000	19130000
chr1	19150000	19390000
chr1	19410000	19650000
chr1	19670000	20630000
chr1	20650000	21130000
chr1	21150000	21470000
chr1	21490000	22310000
chr1	22330000	22950000
chr1	22970000	23330000
chr1	23350000	23870000
chr1	23890000	24370000
chr1	24390000	24630000
chr1	24650000	25230000
chr1	25250000	25630000
chr1	25650000	26150000
chr1	26170000	26610000
chr1	26630000	27150000
chr1	27170000	28330000
chr1	28350000	28930000
chr1	28950000	29590000
chr1	29610000	30070000
chr1	30090000	30770000
chr1	30790000	31310000
chr1	31330000	31770000
chr1	31790000	32430000
chr1	32450000	32570000
chr1	32590000	33170000
chr1	33190000	33530000
chr1	33550000	34770000
chr1	34790000	35410000
chr1	35430000	36190000
chr1	36210000	37110000
chr1	37130000	38170000
chr1	38190000	39450000
chr1	39470000	40190000
chr1	40210000	40610000
chr1	40630000	41010000
chr1	41030000	41990000
chr1	42010000	42290000
chr1	42310000	42890000
chr1	42910000	43290000
chr1	43310000	44070000
chr1	44090000	44590000
chr1	44610000	45150000
chr1	45170000	46070000
chr1	46090000	46630000
chr1	46650000	47130000
chr1	47150000	47950000
chr1	47970000	48710000
chr1	48730000	49030000
chr1	49050000	50150000
chr1	50170000	50930000
chr1	50950000	51170000
chr1	51190000	51730000
chr1	51750000	52230000
chr1	52250000	52830000
chr1	52850000	53330000
chr1	53350000	53730000
chr1	53750000	53990000
chr1	54010000	54290000
chr1	54310000	55130000
chr1	55150000	55890000
chr1	55910000	56370000
chr1	56390000	56850000
chr1	56870000	57330000
chr1	57350000	57710000
chr1	57730000	58110000
chr1	58130000	58390000
chr1	58410000	58730000
chr1	58750000	58990000
chr1	59010000	59490000
chr1	59510000	59830000
chr1	59850000	60490000
chr1	60510000	61190000
chr1	61210000	61530000
chr1	61550000	62510000
chr1	62530000	62910000
chr1	62930000	63690000
chr1	63710000	63950000
chr1	63970000	64270000
chr1	64290000	64450000
chr1	64470000	65290000
chr1	65310000	65890000
chr1	65910000	66290000
chr1	66310000	66790000
chr1	66810000	67010000
chr1	67030000	67950000
chr1	67970000	68290000
chr1	68310000	68970000
chr1	68990000	69350000
chr1	69370000	70070000
chr1	70090000	70430000
chr1	70450000	70810000
chr1	70830000	71070000
chr1	71090000	71430000
chr1	71450000	72010000
chr1	72030000	72310000
chr1	72330000	72890000
chr1	72910000	73170000
chr1	73190000	73830000
chr1	73850000	74350000
chr1	74370000	74610000
chr1	74630000	74930000
chr1	74950000	75890000
chr1	75910000	76290000
chr1	76310000	76850000
chr1	76870000	77050000
chr1	77070000	77310000
chr1	77330000	78090000
chr1	78110000	78350000
chr1	78370000	79590000
chr1	79610000	80090000
chr1	80110000	80450000
chr1	80470000	80650000
chr1	80670000	80950000
chr1	80970000	81270000
chr1	81290000	81590000
chr1	81610000	81830000
chr1	81850000	82370000
chr1	82390000	82850000
chr1	82870000	83270000
chr1	83290000	83610000
chr1	83630000	84030000
chr1	84050000	84290000
chr1	84310000	84770000
chr1	84790000	85330000
chr1	85350000	85810000
chr1	85830000	86330000
chr1	86350000	87390000
chr1	87410000	87510000
chr1	87530000	87750000
chr1	87770000	88090000
chr1	88110000	88290000
chr1	88310000	88590000
chr1	88610000	88770000
chr1	88790000	90270000
chr1	90290000	90710000
chr1	90730000	91410000
chr1	91430000	91710000
chr1	91730000	93030000
chr1	93050000	93590000
chr1	93610000	94170000
chr1	94190000	94710000
chr1	94730000	95130000
chr1	95150000	95730000
chr1	95750000	95910000
chr1	95930000	96570000
chr1	96590000	97010000
chr1	97030000	97390000
chr1	97410000	97630000
chr1	97650000	98590000
chr1	98610000	99290000
chr1	99310000	99430000
chr1	99450000	100070000
chr1	100090000	100370000
chr1	100390000	101350000
chr1	101370000	102170000
chr1	102190000	102830000
chr1	102850000	103210000
chr1	103230000	103910000
chr1	103930000	104770000
chr1	104790000	105390000
chr1	105410000	105890000
chr1	105910000	106510000
chr1	106530000	106970000
chr1	106990000	107390000
chr1	107410000	108230000
chr1	108250000	108710000
chr1	108730000	108910000
chr1	108930000	110030000
chr1	110050000	110450000
chr1	110470000	111110000
chr1	111130000	111650000
chr1	111670000	111910000
chr1	111930000	112270000
chr1	112290000	112930000
chr1	112950000	113330000
chr1	113350000	113670000
chr1	113690000	113870000
chr1	113890000	114690000
chr1	114710000	115250000
chr1	115270000	115890000
chr1	115910000	116650000
chr1	116670000	116930000
chr1	116950000	117570000
chr1	117590000	117930000
chr1	117950000	118330000
chr1	118350000	118650000
chr1	118670000	119210000
chr1	119230000	119490000
chr1	119510000	120150000
chr1	120170000	120530000
chr1	120550000	120930000
chr1	120950000	121130000
chr1	121150000	121790000
chr1	121810000	122270000
chr1	122290000	122470000
chr1	122490000	122810000
chr1	122830000	123850000
chr1	123870000	124910000
chr1	124930000	125130000
chr1	125150000	125970000
chr1	125990000	126570000
chr1	126590000	126870000
chr1	126890000	127290000
chr1	127310000	127790000
chr1	127810000	128110000
chr1	128130000	129510000
chr1	129530000	129750000
chr1	129770000	130190000
chr1	130210000	130490000
chr1	130510000	131150000
chr1	131170000	132130000
chr1	132150000	132410000
chr1	132430000	132910000
chr1	132930000	133230000
chr1	133250000	134750000
chr1	134770000	135190000
chr1	135210000	136810000
chr1	136830000	137330000
chr1	137350000	137650000
chr1	137670000	138330000
